ALBUMINA;3;0;1;5;75
CALCIO CASEINATO;3;1;1;4;90
CASEINA;4;1;1;5;90
CASEINA ACIDA;4;1;0,8;5;97
CASTAGNA;2;62;3,4;3;6
FARINA DI ARACHIDE TOST;3;8,5;50;0;40
FARINA DI ARINGHE ;3;1;8;-1;69,5
FARINA DI AVENA;3;72,9;7,1;4;12,6
FARINA DI CARNE;1;;;0;80
FARINA DI CECI;3;54,3;4,9;4;21,8
FARINA DI CRISALIDE;4;;4;-1;20
FARINA di EMOGLOBINA;5;0;0,1;0;98
FARINA DI FAVA;3;54,8;3;3;27,2
FARINA DI FEGATO;3;2;10;0;85
FARINA di FEGATO di POLLO;3;1;16;0;65
FARINA DI GAMBERO;4;0;1,8;0;55
FARINA DI GRANO 00;4;78;0,7;5;11
FARINA DI MAIS;5;81,5;2,7;4;8,7
FARINA DI MELASSA;4;60;0;-1;5
FARINA DI MERLUZZO;3;1;7;0;79
FARINA DI ORZO;3;80;1,9;3;10,6
FARINA DI PATATA;4;78;3;3;9
FARINA DI PESCE BIANCO;3;;12;0;62
FARINA DI RISO;4;87,8;0,5;3;7,3
FARINA DI SALMONE;3;;8;0;64
FARINA di SANGUE AVICOLO (disid);5;0;1;0;90
FARINA DI SARDINA;4;;;0;60
FARINA di TONNO;3;0;16;0;61
GERME DI GRANO ;5;55;10;4;29
GLM;5;12;5;0;60
GLUTINE DI GRANO;1;;2;5;80
GLUTINE DI MAIS;3;23;1,75;3;60
IDROLIZZATO di COZZA;5;1;0,2;0;90
IDROLIZZATO di FEGATO;5;0;2;0;90
IDROLIZZATO di GAMBERO;5;0;0,2;0;90
IDROLIZZATO di PESCE LT020;5;0;2;0;90
IDROLIZZATO di PIUME di GALLINA;5;0;11,5;0;90
ISOLATO DI SOYA;4;1;0,7;4;90
LACTALBUMINA;4;1;1;4;90
LATTE IN POLVERE;2;42;24,9;3;25
NECTARBLEND;4;65;9;-1;15
PASTONCINO PER UCCELLI;4;50;10;-1;10
POLVERE D'UOVO;2;0,4;36,4;4;50
PROSECTO INSECTIVORUS;3;;;-1;10
RED FACTOR;4;65;8;-1;12
ROBIN RED;5;65;14;-1;12
SEMOLINO;5;77,6;0,5;5;11,5
SEMOLINO 50%+GERME 50%;5;66,3;5,25;4;20
SLUIS CLO;4;65;8;-1;13
SODIO CASEINATO;4;1;1;4;90
SOYA GRASSA;2;23,5;23,5;2;36,5
SOYA TOSTATA;4;28,2;7,2;4;45,3
TIGER NUTS;3;50;20;-1;12
CRUSCA;4;26,6;5,5;-1;14,1
BIRDFOOD BLEND Pelzer;4;41;1,8;3,5;32
BLUE MUSSEL MIX Pelzer;4;28;2;2,7;41,5
EGG & HONEY BISKUIT RED;4;49;2,4;-1;18
EGG & HONEY BISKUIT YELLOW;4;49;2,4;-1;18
FARINA DI GAMBERETTI Pelzer;4;0;1,7;0;58
FARINA DI PESCE LT Pelzer;3;0;8;0;68
FARINA DI SALMONE 89 LT Pelzer;3;0;9;0;72
FISH MIX 2000 Pelzer;3,7;34;17;3,5;34
FISHFOOD BLEND Pelzer;3,5;41;2,1;3,3;41
MATRIX+ MIX;3,7;;6,2;3,5;29
NATURE SEED MIX Pelzer;4;43;1,9;-1;17
PEANUTS BLEND Pelzer;3,8;38;18;3,5;29
PRO MIX Pelzer;4;42;1,9;4;38
RED SEED MIX Pelzer;4;43;1,9;-1;17
RIVER CLASSIC Pelzer;3,5;36;1,6;3,1;28
ROBIN RED Pelzer;5;65;8;-1;12
SUSHI IMPERIAL MIX;4;;6,3;3,5;29,8
YELLOW SEED MIX Pelzer;4;43;1,9;-1;17
ALBUME D'UOVO;3;0;1;0;10,7
UOVA Personalizzato (gr);0;0;11,1;0;13
NUM. DI UOVA (MEDIE 52gr);0;0;11,1;0;13
